Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
0	0.010151	0.010151	0	0.010151	0	0.010151	0.010151	0.010151	0	0.010151
0	0.009949	0.009949	0	0.009949	0	0.009949	0.009949	0.009949	0	0.009949
0	0.00974	0.00974	0	0.00974	0	0.00974	0.00974	0.00974	0	0.00974
0	0.009597	0.009597	0	0.009597	0	0.009597	0.009597	0.009597	0	0.009597
0	0.009425	0.009425	0	0.009425	0	0.009425	0.009425	0.009425	0	0.009425
0	0.009278	0.009278	0	0.009278	0	0.009278	0.009278	0.009278	0	0.009278
0	0.009123	0.009123	0	0.009123	0	0.009123	0.009123	0.009123	0	0.009123
0	0.008974	0.008974	0	0.008974	0	0.008974	0.008974	0.008974	0	0.008974
0	0.008847	0.008847	0	0.008847	0	0.008847	0.008847	0.008847	0	0.008847
0	0.008698	0.008698	0	0.008698	0	0.008698	0.008698	0.008698	0	0.008698
0	0.008581	0.008581	0	0.008581	0	0.008581	0.008581	0.008581	0	0.008581
0	0.008457	0.008457	0	0.008457	0	0.008457	0.008457	0.008457	0	0.008457
0	0.008338	0.008338	0	0.008338	0	0.008338	0.008338	0.008338	0	0.008338
0	0.008235	0.008235	0	0.008235	0	0.008235	0.008235	0.008235	0	0.008235
0	0.008113	0.008113	0	0.008113	0	0.008113	0.008113	0.008113	0	0.008113
0	0.008018	0.008018	0	0.008018	0	0.008018	0.008018	0.008018	0	0.008018
0	0.007906	0.007906	0	0.007906	0	0.007906	0.007906	0.007906	0	0.007906
0	0.007798	0.007798	0	0.007798	0	0.007798	0.007798	0.007798	0	0.007798
0	0.007713	0.007713	0	0.007713	0	0.007713	0.007713	0.007713	0	0.007713
0	0.007612	0.007612	0	0.007612	0	0.007612	0.007612	0.007612	0	0.007612
0	0.007524	0.007524	0	0.007524	0	0.007524	0.007524	0.007524	0	0.007524
0	0.00743	0.00743	0	0.00743	0	0.00743	0.00743	0.00743	0	0.00743
0	0.00734	0.00734	0	0.00734	0	0.00734	0.00734	0.00734	0	0.00734
0	0.007268	0.007268	0	0.007268	0	0.007268	0.007268	0.007268	0	0.007268
0	0.007184	0.007184	0	0.007184	0	0.007184	0.007184	0.007184	0	0.007184
0	0.007116	0.007116	0	0.007116	0	0.007116	0.007116	0.007116	0	0.007116
0	0.007029	0.007029	0	0.007029	0	0.007029	0.007029	0.007029	0	0.007029
0	0.006945	0.006945	0	0.006945	0	0.006945	0.006945	0.006945	0	0.006945
0	0.006884	0.006884	0	0.006884	0	0.006884	0.006884	0.006884	0	0.006884
0	0.006805	0.006805	0	0.006805	0	0.006805	0.006805	0.006805	0	0.006805
0	0.006747	0.006747	0	0.006747	0	0.006747	0.006747	0.006747	0	0.006747
0	0.006667	0.006667	0	0.006667	0	0.006667	0.006667	0.006667	0	0.006667
0	0.0066	0.0066	0	0.0066	0	0.0066	0.0066	0.0066	0	0.0066
0	0.006421	0.006421	0	0.006421	0	0.006421	0.006421	0.006421	0	0.006421
0	0.006314	0.006314	0	0.006314	0	0.006314	0.006314	0.006314	0	0.006314
0	0.006175	0.006175	0	0.006175	0	0.006175	0.006175	0.006175	0	0.006175
0	0.006072	0.006072	0	0.006072	0	0.006072	0.006072	0.006072	0	0.006072
0	0.005981	0.005981	0	0.005981	0	0.005981	0.005981	0.005981	0	0.005981
0	0.005885	0.005885	0	0.005885	0	0.005885	0.005885	0.005885	0	0.005885
0	0.005791	0.005791	0	0.005791	0	0.005791	0.005791	0.005791	0	0.005791
0	0.005732	0.005732	0	0.005732	0	0.005732	0.005732	0.005732	0	0.005732
0	0.005668	0.005668	0	0.005668	0	0.005668	0.005668	0.005668	0	0.005668
0	0.005596	0.005596	0	0.005596	0	0.005596	0.005596	0.005596	0	0.005596
0	0.005316	0.005316	0	0.005316	0	0.005316	0.005316	0.005316	0	0.005316
0	0.005049	0.005049	0	0.005049	0	0.005049	0.005049	0.005049	0	0.005049
0	0.004796	0.004796	0	0.004796	0	0.004796	0.004796	0.004796	0	0.004796
0	0.004555	0.004555	0	0.004555	0	0.004555	0.004555	0.004555	0	0.004555
0	0.004327	0.004327	0	0.004327	0	0.004327	0.004327	0.004327	0	0.004327
0	0.00411	0.00411	0	0.00411	0	0.00411	0.00411	0.00411	0	0.00411
0	0.003903	0.003903	0	0.003903	0	0.003903	0.003903	0.003903	0	0.003903
0	0.003708	0.003708	0	0.003708	0	0.003708	0.003708	0.003708	0	0.003708
0	0.003522	0.003522	0	0.003522	0	0.003522	0.003522	0.003522	0	0.003522
0	0.003345	0.003345	0	0.003345	0	0.003345	0.003345	0.003345	0	0.003345
0	0.003345	0.003345	0	0.003345	0	0.003345	0.003345	0.003345	0	0.003345
0	0.003345	0.003345	0	0.003345	0	0.003345	0.003345	0.003345	0	0.003345
0	0.003345	0.003345	0	0.003345	0	0.003345	0.003345	0.003345	0	0.003345
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
0	0.000054	0.000054	0	0.000054	0	0.000054	0.000054	0.000054	0	0
